procédé;paramètre considéré;;nom cellule;valeur attribuée;unité;remarques
;;rdt dissoultion eau claire moyennes bulles;;2.5;%/m;
;;rdt dissoultion eau claire fines bulles;;5.8;%/m;forte et moyenne charge / modif DCA 20/05/14
;;Hlimite pour utiliser la relation (faible charge et aération prolongée);;6;m;valeur limite d'utilisation de la relation / modif DCA 20/05/14
;;rdt dissoultion eau claire fines bulles (H<Hlim) pente;;-0.18;%/m2;relation sur la hauteur (faible charge et aération prolongée) / modif DCA 20/05/14
;;rdt dissoultion eau claire fines bulles (H<Hlim) ordonnée origine;;6.88;%/m;relation sur la hauteur (faible charge et aération prolongée) / modif DCA 20/05/14
;;ASB brosses;hyp_II_BA_aerateur_surface_ASB;1.7;kgO2transféré/kWh;littérature et revu avec P. JOUAFFRE
;;ASB turbines lentes;;1.65;kgO2transféré/kWh;littérature et revu avec P. JOUAFFRE
;;ASB turbines rapides;;1.2;kgO2transféré/kWh;littérature et revu avec P. JOUAFFRE
;;charge massique maximale pour calcul rdt DBO;hyp_II_BA_rdtDBO_FtoM_max;1.9;kgDBO/(kgMES.j);
;;courbe rdt DBO après primaire coef a(0);hyp_II_BA_rdtDBO_coef_ED;0.9549;;courbe de l'Aquademy (forme polynômiale)
;;courbe rdt DBO après primaire coef a(1);;-0.0966;;
;;courbe rdt DBO après primaire coef a(2);;-0.4705;;
;;courbe rdt DBO après primaire coef a(3);;0.1798;;
;;courbe rdt DBO eau brute coef a(0);hyp_II_BA_rdtDBO_coef_EB;0.9854;;courbe de l'Aquademy (forme polynômiale)
;;courbe rdt DBO eau brute coef a(1);;-0.2053;;
;;courbe rdt DBO eau brute coef a(2);;-0.2472;;
;;courbe rdt DBO eau brute coef a(3);;0.1104;;
;;courbe facteur alpha fines bulles cte;hyp_II_BA_alpha_finebulle_a0;0.51;;vu avec C. AMIEL et K. SORENSEN
;;courbe facteur alpha fines bulles coef MVS;hyp_II_BA_alpha_finebulle_aMVS;-0.062;;
;;courbe facteur alpha fines bulles coef Geq;hyp_II_BA_alpha_finebulle_aGeq;0.019;;
;;correction facteur alpha aération (sauf fines bulles) coeff a0;hyp_II_BA_alpha_correction_MES_a0;1.0007;;si C>5g/L --> dégradation du facteur alpha
;;correction facteur alpha aération (sauf fines bulles) coeff a1;hyp_II_BA_alpha_correction_MES_a1;-0.035;L/g;
;;correction facteur alpha aération (sauf fines bulles) Cref;hyp_II_BA_alpha_correction_MES_Cref;5;g/L;
;;valeur limite pour la décantation (produit de C_recirc*SVI);hyp_II_BA_facteur_boues_Clim;120;mL/L;valable sur BA mais pas sur les SBR
;;puissance agitation bassin aéré;hyp_II_BA_agitation_aeree_W_m3;0;W/m3bassin;
;;puissance agitation bassin anoxie;hyp_II_BA_agitation_anoxie_W_m3;3;W/m3bassin;
;;puissance agitation chenal;hyp_II_BA_agitation_chenal_W_m3;3;W/m3bassin;
;;puissance agitation anaérobie;hyp_II_BA_agitation_anaerobie_W_m3;10;W/m3bassin;
;;temps de fonctionnement de l'agitation;hyp_II_BA_agitation_tps fct;24;h/j;
;;température de référence pour biologie (âge de boues, FtoM,…);hyp_II_BA_bio_equiv_Tref;12;°C;
;;coefficient de correction en température;hyp_II_BA_bio_equiv_correctionT;1.072;;
;;calcul de la charge massique avec âge de boues coef a0;hyp_II_BA_charge_massique_a0;1.3908;;
;;calcul de la charge massique avec âge de boues coef a1;hyp_II_BA_charge_massique_a1;0.4959;;
;;besoins en O2 DBO + respiration coef a0;hyp_II_BA_besoinO2_DBO_resp_a0;0.56;;"source ATV relation avec l'âge de boues et la température
rate_O2_DBOresp = a0 + ( a1 * G * corrT ^ ( T - Tref ) ) / (1 + a2 * G * corrT ^ ( T - Tref ) )"
;;besoins en O2 DBO + respiration coef a1;hyp_II_BA_besoinO2_DBO_resp_a1;0.15;;
;;besoins en O2 DBO + respiration coef a2;hyp_II_BA_besoinO2_DBO_resp_a2;0.17;;
;;correction en température pour formule ATV;hyp_II_BA_besoinO2_DBO_resp_correctionT;1.072;;
